Doc ID,Country,Year,Response,Health relevance (1/0),Health adaptation mandate (1/0),Institutional health role (1/0),Notes,Matched health keywords,Health keyword categories
biofuels-and-bioliquids-market-regulations_d458,Malta,2012.0,Mitigation,1,0,0,,hospital;ill,communicable_disease;general_health
malta-resources-authority-act_939d,Malta,2015.0,Mitigation,1,0,0,,hospital;ill,communicable_disease;general_health
malta-european-union-greenhouse-gas-emissions-trading-scheme-for-aviation-regulations_6a09,Malta,2019.0,Mitigation,1,0,0,,hospital;ill,communicable_disease;general_health
lifecycle-greenhouse-emissions-from-fuels-regulations_499b,Malta,2010.0,Mitigation,1,0,0,,hospital;ill,communicable_disease;general_health
promotion-of-energy-from-renewable-sources_94c9,Malta,2021.0,Mitigation,1,1,0,,TB;ill,communicable_disease
energy-act-2023_c645,United Kingdom,2023.0,Mitigation,1,1,0,,accident;anger;emergency;flu;health;ill;injury;mental,communicable_disease;general_health;injury_trauma;mental_health
law-no-27-2006-on-civil-protection_3be7,Portugal,2006.0,Adaptation;Disaster Risk Management,1,0,0,,accident;anger;emergency;flu;health;hospital;ill;mental,communicable_disease;general_health;injury_trauma;mental_health
law-80-2015_4b94,Portugal,2006.0,Adaptation;Disaster Risk Management,1,0,0,,emergency;flu;health;health care;hospital;medical;mental,communicable_disease;general_health;mental_health
law-19-2014-defining-the-bases-of-the-environment-policy_a6a8,Portugal,2014.0,Adaptation;Mitigation,1,0,0,,drought;flood;mental,environmental_health;mental_health
law-82-2023-the-state-of-budget-for-2024_d4ea,Portugal,2023.0,Mitigation,1,1,0,,Ebola;GP;accident;disease;doctor;emergency;health;health care;health service;healthcare;hospital;ill;medical;mental;mental health;suicide,communicable_disease;general_health;injury_trauma;mental_health
law-82-2023_6cec,Portugal,2014.0,Mitigation,1,1,0,,Ebola;GP;accident;disease;doctor;emergency;health;health care;health service;healthcare;hospital;ill;medical;mental;mental health;suicide,communicable_disease;general_health;injury_trauma;mental_health
framework-climate-law-no-98-2021_2dc3,Portugal,2021.0,Adaptation;Disaster Risk Management;Mitigation,1,1,0,,flu;ill;mental;nutrition,communicable_disease;mental_health;nutrition
law-43-2023_832e,Portugal,2023.0,Mitigation;Adaptation,1,0,0,,,
consolidated-text-after-amended-by-law-24-2013_a7ce,Spain,2013.0,Adaptation,1,0,0,,flu,communicable_disease
royal-decree-no-1007-2015-on-carbon-credits_9cc4,Spain,2015.0,Mitigation,1,0,0,,flu;ill;mental,communicable_disease;mental_health
law-2-2013-on-the-protection-and-sustainable-use-of-coastal-areas_8b15,Spain,2013.0,Adaptation,1,0,0,,flu,communicable_disease
royal-decree-law-42023-af8a,Spain,2023.0,,1,1,0,,AIDS;COVID;COVID-19;HIV;death;deaths;depression;drought;emergency;flu;health;high temperature;ill;mental;mortality;pandemic;stress,communicable_disease;environmental_health;general_health;mental_health;mortality_morbidity
law-no-17-2015-on-the-national-civil-protection-system_34ca,Spain,2015.0,Adaptation;Disaster Risk Management,1,0,0,,accident;anger;emergency;flood;flu;ill;mental,communicable_disease;environmental_health;general_health;injury_trauma;mental_health
real-decree-1315-2005_13b4,Spain,2005.0,Adaptation;Mitigation,1,0,0,,ill;mental,communicable_disease;mental_health
law-1-2005-of-march-9-which-regulates-the-regime-of-the-trade-of-greenhouse-gases-emission_15dd,Spain,2005.0,Adaptation;Mitigation,1,0,0,,flu;health;hospital;ill;mental,communicable_disease;general_health;mental_health
law-24-2013-on-the-electric-sector_3177,Spain,2013.0,Mitigation,1,0,0,,HIV;flu;health;hospital;ill;medical;mental,communicable_disease;general_health;mental_health
royal-decree-law-29-2021-adopting-urgent-measures-in-the-energy-field-to-promote-electric-mobility-self-consumption-and-the-deployment-of-renewable-energies_7e38,Spain,2021.0,Mitigation,1,0,0,,COVID;COVID-19;TB;doctor;emergency;health;hospital;ill;medical;mental;pandemic,communicable_disease;general_health;mental_health
royal-decree-law-20-2022-on-response-measures-to-the-economic-and-social-consequences-of-the-ukrainian-war-and-support-for-the-reconstruction-of-the-island-of-la-palma-and-other-situations-of-vulnerability_8da7,Spain,2022.0,Mitigation,1,1,0,,AIDS;COVID;COVID-19;HIV;SARS;TB;drought;emergency;flu;health;hospital;ill;infection;infections;injuries;medical;mental;pandemic;stress,communicable_disease;environmental_health;general_health;injury_trauma;mental_health
law-7-2021-on-climate-change-and-energy-transition_8c2d,Spain,2021.0,Adaptation;Mitigation,1,1,0,,TB;accident;anxiety;emergency;flood;flu;health;high temperature;ill;mental;morbidity;mortality,communicable_disease;environmental_health;general_health;injury_trauma;mental_health;mortality_morbidity
royal-decree-law-25-2020-on-urgent-measures-to-support-economic-reactivation-and-employment_0b0f,Spain,2020.0,Adaptation;Mitigation,1,1,0,,COVID;COVID-19;SARS;TB;coronavirus;emergency;epidemic;health;health emergency;hospital;ill;mental;pandemic;virus;well-being,communicable_disease;general_health;mental_health;pathogens_microbiology
royal-decree-law-6-2022-adopting-measures-of-the-framework-of-the-national-response-plan-to-the-economic-and-social-consequences-of-the-war-in-ukraine_44a4,Spain,2022.0,Mitigation,1,1,0,,COVID;COVID-19;HIV;accident;anger;drought;emergency;flu;health;hospital;ill;injuries;medical;mental;pandemic;psychological;well-being,communicable_disease;environmental_health;general_health;injury_trauma;mental_health
law-16-2013-which-establishes-certain-measures-regarding-environmental-taxation-and-adopts-other-tax-and-financial-measures_12fb,Spain,2013.0,Mitigation,1,0,0,,flu;health;ill;mental,communicable_disease;general_health;mental_health
royal-decree-law-14-2022-on-economic-sustainability-measures-in-the-field-of-transport-in-terms-of-scholarships-and-study-aid-as-well-as-measures-for-saving-energy-efficiency-and-reducing-the-energy-dependence-of-the-natural-gas_8838,Spain,2022.0,Mitigation,1,1,0,,AIDS;COVID;COVID-19;SARS;disease;diseases;emergency;flu;health;health emergency;ill;infection;infections;medical;mental;pandemic;pandemics;virus,communicable_disease;general_health;mental_health;pathogens_microbiology
regulation-eu-2017-1369-setting-a-framework-for-energy-labelling-and-repealing-directive-2010-30-eu_5371,European Union,2017.0,Mitigation,1,1,0,,HIV;health;ill;mental,communicable_disease;general_health;mental_health
act-on-public-procurement-procurement-act_d405,Norway,2016.0,Mitigation,1,0,0,,health;ill;mental,communicable_disease;general_health;mental_health
law-24-d-2022-state-budget-for-2023_5551,Portugal,2022.0,Mitigation;Disaster Risk Management,1,1,0,,COVID;COVID-19;Ebola;GP;accident;disease;diseases;doctor;emergency;health;health service;healthcare;hospital;ill;illness;medical;mental;pandemic,communicable_disease;general_health;injury_trauma;mental_health
government-decree-on-the-sami-climate-council-no-435-of-2023_017d,Finland,2015.0,Adaptation;Mitigation,1,1,0,,ill;mental,communicable_disease;mental_health
act-on-the-state-owned-limited-company-climate-fund-ltd-no-173-of-2023_6ea0,Finland,2023.0,Mitigation;Adaptation,1,0,0,,ill,communicable_disease
law-no-4964-of-2022_9afc,Greece,2022.0,Mitigation;Adaptation,1,0,0,,COVID;COVID-19,communicable_disease
emissions-trading-act-no-1270-of-2023_b307,Finland,2023.0,Mitigation,1,0,0,,emergency;flu;health;ill;medical;mental,communicable_disease;general_health;mental_health
law-no-5106-of-2024-arrangements-to-address-the-multi-level-impacts-of-climate-change_861c,Greece,2024.0,Mitigation;Adaptation,1,0,0,,mental,mental_health
act-on-the-reduction-of-greenhouse-gas-emissions-from-certain-fuels-no-170-of-2018_4d11,Finland,2018.0,Mitigation,1,0,0,,ill,communicable_disease
law-no-5069-of-2023_0dba,Greece,2023.0,Mitigation;Adaptation,1,0,0,,COVID;COVID-19,communicable_disease
law-no-5116-of-2024_fd72,Greece,2024.0,Disaster Risk Management,1,0,0,,COVID;COVID-19,communicable_disease
government-decree-on-finland-s-climate-panel-no-349-of-2023_5fac,Finland,2015.0,Adaptation;Mitigation,1,0,0,,ill,communicable_disease
partial-revision-of-the-co2-ordinance-explanatory-report-2020_e540,Switzerland,2013.0,Adaptation;Mitigation,1,1,0,,coronavirus;flu;ill;mental;virus,communicable_disease;mental_health;pathogens_microbiology
regulation-eu-2024-1991-of-the-european-parliament-and-of-the-council-of-24-june-2024-on-nature-restoration-and-amending-regulation-eu-2022-869_9d51,European Union,2024.0,Mitigation;Adaptation,1,1,0,,TB;air pollution;anger;depression;disease;diseases;drought;emergency;flood;flu;health;ill;mental;pandemic;pandemics;well-being;wellbeing;wildfire,communicable_disease;environmental_health;general_health;mental_health
regulation-eu-2024-1257-of-the-european-parliament-and-of-the-council-of-24-april-2024-on-type-approval-of-motor-vehicles-and-engines-and-of-systems-components-and-separate-technical-units-intended-for-such-vehicles-with-respect-to-their-emissions-and-battery-durability-euro-7_5da9,European Union,2024.0,Mitigation,1,1,0,,anger;flu;health;ill;mental;well-being,communicable_disease;general_health;mental_health
regulation-eu-2024-1781-of-the-european-parliament-and-of-the-council-of-13-june-2024-establishing-a-framework-for-the-setting-of-ecodesign-requirements-for-sustainable-products-amending-directive-eu-2020-1828-and-regulation-eu-2023-1542-and-repealing-directive-2009-125-ec_8fa7,European Union,2005.0,Mitigation,1,1,0,,COVID;COVID-19;anger;flu;health;ill;medical;mental;pandemic;respiratory;stress;wasting;well-being,communicable_disease;general_health;mental_health;non_communicable_disease;nutrition
directive-eu-2024-1799-of-the-european-parliament-and-the-council-of-13-june-2024-on-common-rules-promoting-the-repair-of-goods-and-amending-regulation-eu-2017-2394-and-directives-eu-2019-771-and-eu-2020-1828_17f9,European Union,2024.0,Mitigation,1,1,0,,flu;ill;mental,communicable_disease;mental_health
regulation-eu-2024-1787-of-the-european-parliament-and-of-the-council-of-13-june-2024-on-the-reduction-of-methane-emissions-in-the-energy-sector-and-amending-regulation-eu-2019-942_c8ee,European Union,2024.0,Mitigation,1,1,0,,accident;air pollution;anger;emergency;flood;flu;health;ill;mental,communicable_disease;environmental_health;general_health;injury_trauma;mental_health
commission-implementing-regulation-eu-2023-1773-of-17-august-2023-laying-down-the-rules-for-the-application-of-regulation-eu-2023-956-of-the-european-parliament-and-of-the-council-as-regards-reporting-obligations-for-the-purposes-of-the-carbon-border-adjustment-mechanism-during-the-transitional-period_1371,European Union,2023.0,Mitigation,1,1,0,,CKD;CVD;emergency;flu;health;high temperature;ill;mental,communicable_disease;environmental_health;general_health;mental_health;non_communicable_disease
directive-eu-2024-1275-of-the-european-parliament-and-of-the-council-of-24-april-2024-on-the-energy-performance-of-buildings_8ae5,European Union,2024.0,Mitigation,1,1,0,,anger;death;flood;flu;health;hospital;ill;illness;mental;well-being;wellbeing,communicable_disease;environmental_health;general_health;mental_health;mortality_morbidity
regulation-eu-2024-1735-of-the-european-parliament-and-of-the-council-of-13-june-2024-on-establishing-a-framework-of-measures-for-strengthening-europes-net-zero-technology-manufacturing-ecosystem-and-amending-regulation-eu-2018-1724_a2d8,European Union,2024.0,Mitigation,1,1,0,,GP;accident;anger;flu;health;ill;mental;well-being,communicable_disease;general_health;injury_trauma;mental_health
regulation-eu-2024-1244-of-the-european-parliament-and-of-the-council-of-24-april-2024-on-reporting-of-environmental-data-from-industrial-installations-establishing-an-industrial-emissions-portal-and-repealing-regulation-ec-no-166-2006_03be,European Union,2024.0,Mitigation,1,1,0,,accident;anger;arsenic;flu;health;ill;mental,communicable_disease;food_waterborne;general_health;injury_trauma;mental_health
regulation-eu-2024-1781-of-the-european-parliament-and-of-the-council-of-13-june-2024_5e7c,European Union,2024.0,Mitigation;Adaptation,1,1,0,,COVID;COVID-19;anger;flu;health;ill;medical;mental;pandemic;respiratory;stress;wasting;well-being,communicable_disease;general_health;mental_health;non_communicable_disease;nutrition
eco-design-directive-2009-125-ec-establishing-a-framework-for-the-setting-of-ecodesign-requirements-for-energy-related-products-recast_ec15,European Union,2005.0,Mitigation,1,1,0,,anger;flu;health;ill;mental,communicable_disease;general_health;mental_health
regulation-eu-2023956-of-the-european-parliament-and-of-the-council-of-10-may-2023-establishing-a-carbon-border-adjustment-mechanism-d41d,European Union,2023.0,Mitigation,1,1,0,,COVID;COVID-19;flu;health;ill;mental;pandemic;stress;well-being,communicable_disease;general_health;mental_health
directive-on-biofuels-for-transport_341a,European Union,2003.0,Mitigation,1,1,0,,TB;flu;health;ill;mental,communicable_disease;general_health;mental_health
directive-on-the-limitation-of-emissions-of-certain-pollutants-into-the-air-from-large-combustion-plants_3daf,European Union,2001.0,Mitigation,1,1,0,,air pollution;emergency;flu;health;ill;mental,communicable_disease;environmental_health;general_health;mental_health
climate-change-policy-coordination-commission-ccpcc_9b57,Spain,2005.0,Mitigation,1,1,0,,flu;ill;mental,communicable_disease;mental_health
directive-on-national-emission-ceilings-for-certain-atmospheric-pollutants_a472,European Union,2001.0,Mitigation,1,0,0,,air pollution;asthma;cancer;death;deaths;depression;health;healthcare;ill;illness;illnesses;mental;mental health,communicable_disease;environmental_health;general_health;mental_health;mortality_morbidity;non_communicable_disease
forest-law-no-6831_4d86,Türkiye,1956.0,Mitigation,1,0,0,,COVID;COVID-19;anger;disease;diseases;flu;ill;mental,communicable_disease;mental_health
directive-on-landfill-of-waste_94df,European Union,1999.0,Mitigation,1,1,0,,health;hospital;ill;medical;mental,communicable_disease;general_health;mental_health
directive-on-emissions-standards-for-two-and-three-wheeled-vehicles_01ea,European Union,2002.0,Mitigation,1,1,0,,accident;ill;mental;stroke,communicable_disease;injury_trauma;mental_health;non_communicable_disease
directive-on-biofuels-for-transport_2fe7,European Union,2003.0,Mitigation,1,1,0,,TB;flu;health;ill;mental,communicable_disease;general_health;mental_health
co2-succession-act_edc1,Switzerland,2023.0,Mitigation,1,0,0,,COVID;COVID-19;GP;HIV;coronavirus;drought;emergency;ill;pandemic;virus,communicable_disease;environmental_health;general_health;pathogens_microbiology
excise-duties-and-tax-warehouses-act_ca14,Bulgaria,2006.0,Mitigation,1,0,0,,HIV,communicable_disease
the-european-directive-on-mobile-air-conditioning-systems-macs_49c5,European Union,2006.0,Mitigation,1,1,0,,GP;emergency;flu;ill;mental,communicable_disease;general_health;mental_health
regulation-on-energy-performance-in-buildings_798f,Türkiye,2007.0,Mitigation,1,1,0,,ill;mental,communicable_disease;mental_health
clean-ambient-air-act_b171,Bulgaria,2011.0,Mitigation,1,1,1,,accident;air pollution;anger;arsenic;emergency;flu;health;ill;injury;mental,communicable_disease;environmental_health;food_waterborne;general_health;injury_trauma;mental_health
electricity-certificates-regulation-regulation-no-1398_1082,Norway,2012.0,Mitigation,1,0,0,,HIV,communicable_disease
waste-management-act_ca22,Bulgaria,2012.0,Mitigation,1,0,0,,flu;health;ill;medical;mental,communicable_disease;general_health;mental_health
guidance-on-csddd_6200,European Union,2024.0,Mitigation,1,1,0,,ill;mental,communicable_disease;mental_health
resolution-to-reduce-cruise-ships-and-ferries-emissions-in-fjords_dd3b,Norway,2018.0,Mitigation,1,0,0,,air pollution;anger;health;ill;mental,communicable_disease;environmental_health;general_health;mental_health
decree-law-162-19-art-42bis-legal-scheme-applicable-to-self-consumption-of-renewable-energy_e00f,Italy,2019.0,Mitigation,1,0,0,,HIV;ill;mental,communicable_disease;mental_health
the-climate-change-targeted-greenhouse-gases-order-2023_2930,United Kingdom,2023.0,Mitigation,1,0,0,,flu,communicable_disease
renewable-energy-act-amended_1f57,Poland,2019.0,Mitigation,1,0,0,,health;healthcare;hospital;ill;mental,communicable_disease;general_health;mental_health
the-vehicle-emissions-trading-schemes-order-2023_31ec,United Kingdom,2024.0,Mitigation,1,1,0,,HIV;ill;mental,communicable_disease;mental_health
decree-law-n-34-2020-tax-deduction-for-energy-efficiency-improvements-superbonus-110_e4ac,Italy,2020.0,Mitigation,1,0,0,,COVID;COVID-19;emergency;health,communicable_disease;general_health
amendment-of-the-renewable-energy-sources-act-eeg-2021_50a4,Germany,2021.0,Mitigation,1,0,0,,COVID;COVID-19;flu;ill;pandemic,communicable_disease
legislative-decree-73-implementation-of-of-the-directive-eu-2018-2002-on-energy-efficiency_ba6f,Italy,2020.0,Mitigation,1,0,0,,COVID;COVID-19;HIV;coronavirus;health;ill;mental;virus,communicable_disease;general_health;mental_health;pathogens_microbiology
legislative-decree-9-june-2020-n-47_c732,Italy,2020.0,Mitigation,1,0,0,,HIV,communicable_disease
